time;power_cum
30,10;0,0607
39,91;0,0806
44,02;0,0890
57,94;0,1173
60,10;0,1216
69,91;0,1415
74,02;0,1499
87,94;0,1782
90,10;0,1825
99,91;0,2025
104,02;0,2108
117,94;0,2391
120,10;0,2435
129,91;0,2634
134,02;0,2718
147,94;0,3001
150,10;0,3045
159,91;0,3244
164,02;0,3328
177,94;0,3611
180,10;0,3655
189,91;0,3854
194,02;0,3938
207,94;0,4221
210,10;0,4265
219,91;0,4465
224,02;0,4548
237,94;0,4831
240,10;0,4875
249,91;0,5075
254,02;0,5159
267,94;0,5442
270,10;0,5486
279,91;0,5685
284,02;0,5769
297,94;0,6052
300,10;0,6096
309,91;0,6296
314,02;0,6379
327,94;0,6663
330,10;0,6707
339,91;0,6906
344,02;0,6990
357,94;0,7273
360,10;0,7317
369,91;0,7517
374,02;0,7600
387,94;0,7884
390,10;0,7928
399,91;0,8127
404,02;0,8211
417,94;0,8495
420,10;0,8539
429,91;0,8738
434,02;0,8822
447,94;0,9105
450,10;0,9149
459,91;0,9349
464,02;0,9433
477,94;0,9716
480,10;0,9760
489,91;0,9959
494,02;1,0043
507,94;1,0326
510,10;1,0370
519,91;1,0569
524,02;1,0653
537,94;1,0936
540,10;1,0980
549,91;1,1179
554,02;1,1263
567,94;1,1546
570,10;1,1590
579,91;1,1790
584,02;1,1873
597,94;1,2156
600,10;1,2200
609,91;1,2400
614,02;1,2484
627,94;1,2767
630,10;1,2811
639,91;1,3010
644,02;1,3094
657,94;1,3377
660,10;1,3421
669,91;1,3620
674,02;1,3704
687,94;1,3986
690,10;1,4030
699,91;1,4230
704,02;1,4313
717,94;1,4596
720,10;1,4640
729,91;1,4840
734,02;1,4923
747,94;1,5207
750,10;1,5251
759,91;1,5450
764,02;1,5534
777,94;1,5817
780,10;1,5861
789,91;1,6061
794,02;1,6145
807,94;1,6428
810,10;1,6472
819,91;1,6671
824,02;1,6755
837,94;1,7038
840,10;1,7082
849,91;1,7281
854,02;1,7365
867,94;1,7648
870,10;1,7692
879,91;1,7891
884,02;1,7975
897,94;1,8258
900,10;1,8302
909,91;1,8502
914,02;1,8585
927,94;1,8869
930,10;1,8913
939,91;1,9112
944,02;1,9196
957,94;1,9479
960,10;1,9523
969,91;1,9722
974,02;1,9806
987,94;2,0088
990,10;2,0132
999,91;2,0331
1004,02;2,0415
1017,94;2,0698
1020,10;2,0742
1029,91;2,0941
1034,02;2,1024
1047,94;2,1307
1050,10;2,1351
1059,91;2,1550
1064,02;2,1634
1077,94;2,1917
1080,10;2,1960
1089,91;2,2159
1094,02;2,2243
1107,94;2,2526
1110,10;2,2570
1119,91;2,2769
1124,02;2,2852
1137,94;2,3135
1140,10;2,3179
1149,91;2,3379
1154,02;2,3462
1167,94;2,3745
1170,10;2,3789
1179,91;2,3988
1184,02;2,4072
1197,94;2,4354
1200,10;2,4398
1209,91;2,4598
1214,02;2,4681
1227,94;2,4964
1230,10;2,5008
1239,91;2,5207
1244,02;2,5291
1257,94;2,5573
1260,10;2,5617
1269,91;2,5816
1274,02;2,5900
1287,94;2,6182
1290,10;2,6226
1299,91;2,6425
1304,02;2,6509
1317,94;2,6792
1320,10;2,6835
1329,91;2,7035
1334,02;2,7118
1347,94;2,7401
1350,10;2,7444
1359,91;2,7644
1364,02;2,7727
1377,94;2,8010
1380,10;2,8054
1389,91;2,8253
1394,02;2,8336
1407,94;2,8619
1410,10;2,8663
1419,91;2,8862
1424,02;2,8946
1437,94;2,9229
1440,10;2,9273
1449,91;2,9472
1454,02;2,9556
1467,94;2,9839
1470,10;2,9883
1479,91;3,0082
1484,02;3,0165
1497,94;3,0448
1500,10;3,0492
1509,91;3,0691
1514,02;3,0775
1527,94;3,1058
1530,10;3,1102
1539,91;3,1301
1544,02;3,1385
1557,94;3,1667
1560,10;3,1711
1569,91;3,1910
1574,02;3,1994
1587,94;3,2276
1590,10;3,2320
1599,91;3,2519
1604,02;3,2603
1617,94;3,2885
1620,10;3,2929
1629,91;3,3129
1634,02;3,3212
1647,94;3,3495
1650,10;3,3539
1659,91;3,3738
1664,02;3,3822
1677,94;3,4104
1680,10;3,4148
1689,91;3,4348
1694,02;3,4431
1707,94;3,4714
1710,10;3,4758
1719,91;3,4958
1724,02;3,5041
1737,94;3,5324
1740,10;3,5368
1749,91;3,5568
1754,02;3,5651
1767,94;3,5934
1770,10;3,5978
1779,91;3,6177
1784,02;3,6261
1797,94;3,6544
1800,10;3,6588
1809,91;3,6787
1814,02;3,6871
1827,94;3,7154
1830,10;3,7198
1839,91;3,7397
1844,02;3,7481
1857,94;3,7764
1860,10;3,7808
1869,91;3,8007
1874,02;3,8091
1887,94;3,8373
1890,10;3,8417
1899,91;3,8617
1904,02;3,8700
1917,94;3,8983
1920,10;3,9027
1929,91;3,9227
1934,02;3,9310
1947,94;3,9594
1950,10;3,9638
1959,91;3,9837
1964,02;3,9921
1977,94;4,0204
1980,10;4,0248
1989,91;4,0447
1994,02;4,0531
2007,94;4,0814
2010,10;4,0857
2019,91;4,1057
2024,02;4,1140
2037,94;4,1423
2040,10;4,1467
2049,91;4,1666
2054,02;4,1750
2067,94;4,2033
2070,10;4,2077
2079,91;4,2276
2084,02;4,2360
2097,94;4,2643
2100,10;4,2687
2109,91;4,2886
2114,02;4,2970
2127,94;4,3253
2130,10;4,3297
2139,91;4,3496
2144,02;4,3580
2157,94;4,3863
2160,10;4,3906
2169,91;4,4106
2174,02;4,4189
2187,94;4,4472
2190,10;4,4516
2199,91;4,4716
2204,02;4,4799
2217,94;4,5082
2220,10;4,5126
2229,91;4,5325
2234,02;4,5409
2247,94;4,5692
2250,10;4,5736
2259,91;4,5936
2264,02;4,6019
2277,94;4,6302
